in position0,in position1,in position2,in position3,in position4,in position5,in position6,in torque0,in torque1,in torque2,in torque3,in torque4,in torque5,in torque6,in tactile0,in tactile1,in tactile2,in tactile3,in tactile4,in tactile5,in tactile6,in tactile7,in tactile8,in tactile9,in tactile10,in tactile11,in tactile12,in tactile13,in tactile14,in tactile15,in image0,in image1,in image2,in image3,in image4,in image5,in image6,in image7,in image8,in image9,in image10,in image11,in image12,in image13,in image14,out position0,out position1,out position2,out position3,out position4,out position5,out position6,out torque0,out torque1,out torque2,out torque3,out torque4,out torque5,out torque6,out tactile0,out tactile1,out tactile2,out tactile3,out tactile4,out tactile5,out tactile6,out tactile7,out tactile8,out tactile9,out tactile10,out tactile11,out tactile12,out tactile13,out tactile14,out tactile15,out image0,out image1,out image2,out image3,out image4,out image5,out image6,out image7,out image8,out image9,out image10,out image11,out image12,out image13,out image14,cf_pca0,cf_pca1,cs_pca0,cs_pca1,cf_states0,cf_states1,cf_states2,cf_states3,cf_states4,cf_states5,cf_states6,cf_states7,cf_states8,cf_states9,cf_states10,cf_states11,cf_states12,cf_states13,cf_states14,cf_states15,cf_states16,cf_states17,cf_states18,cf_states19,cf_states20,cf_states21,cf_states22,cf_states23,cf_states24,cf_states25,cf_states26,cf_states27,cf_states28,cf_states29,cf_states30,cf_states31,cf_states32,cf_states33,cf_states34,cf_states35,cf_states36,cf_states37,cf_states38,cf_states39,cf_states40,cf_states41,cf_states42,cf_states43,cf_states44,cf_states45,cf_states46,cf_states47,cf_states48,cf_states49,cf_states50,cf_states51,cf_states52,cf_states53,cf_states54,cf_states55,cf_states56,cf_states57,cf_states58,cf_states59,cf_states60,cf_states61,cf_states62,cf_states63,cf_states64,cf_states65,cf_states66,cf_states67,cf_states68,cf_states69,cf_states70,cf_states71,cf_states72,cf_states73,cf_states74,cf_states75,cf_states76,cf_states77,cf_states78,cf_states79,cf_states80,cf_states81,cf_states82,cf_states83,cf_states84,cf_states85,cf_states86,cf_states87,cf_states88,cf_states89,cs_states0,cs_states1,cs_states2,cs_states3,cs_states4,cs_states5,cs_states6,cs_states7,cs_states8,cs_states9
0.56973636,-0.13408479,0.8018421,-0.4206839,-0.83023584,0.8986613,-0.3828645,-0.10998422,0.2994345,-0.50651556,0.2113099,-0.055263173,0.13235296,-0.0887324,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9029032,-0.9,-0.9,-0.9,-0.9,-0.9,-0.45840743,0.01259737,-0.9,-0.9,0.28207678,-0.36393404,-0.6817554,-0.9,-0.9,-0.9,-0.56374925,-0.9,-0.052647687,-0.9,0.55964154,-0.0920662,0.7332879,-0.40004453,-0.7748338,0.8649862,-0.3661362,-0.08414646,0.24421027,-0.46077925,0.17182684,0.009986255,0.14637658,-0.06752557,-0.8657633,-0.8697164,-0.8713976,-0.8589153,-0.873415,-0.8706619,-0.8656002,-0.8491902,-0.91014665,-0.89509946,-0.90465194,-0.898227,-0.8614704,-0.8574628,-0.87094426,-0.88135403,-0.8824537,-0.49016613,0.036507804,-0.8730988,-0.87773323,0.30442706,-0.2806649,-0.42995557,-0.854913,-0.91647476,-0.8605078,-0.40693364,-0.89029276,-0.06903239,-0.859095,-0.9820881,-0.3516101,-0.32190922,0.6276034,-0.0054226574,-0.0026857317,0.027322683,0.015835835,-0.0104000885,-0.0012018951,-0.019460294,-0.008968087,0.003903934,-0.04261582,0.00021823644,0.0043243445,-0.012165428,0.008905228,0.057136565,0.008204261,0.0011863468,0.00941259,0.012278035,-0.040627856,0.011947579,0.043042414,0.015335734,0.030024959,-0.032290317,-0.014190836,-0.0047166436,0.0023120549,-0.0011178565,-0.03721453,-0.007471858,0.008004524,0.05828551,-0.006232832,-0.015491076,0.0035431318,-0.014340289,-0.0031746991,-0.032064874,0.043573003,0.02458046,0.013599648,0.0142321335,0.0078312745,-0.012895973,0.039435778,-0.015756538,-0.024234863,-0.05469412,-0.03675067,-0.021329172,0.013610866,-0.0037617823,0.009411045,-0.023323618,0.010204023,-0.033693906,-0.0048824325,0.03601836,0.014635817,0.014432424,0.02582218,-0.045837454,-0.0017128921,-0.04231729,0.014290787,-0.03142119,0.04547123,0.0100536235,0.01784278,-0.010780288,0.018413845,-0.011481665,-0.015283875,-0.017472059,0.02536119,-0.004281914,0.02282143,-0.0440585,-0.031215837,0.023478698,-0.0067471536,-0.004755121,-0.016829694,0.05365511,-0.023122044,0.04120604,-0.041807882,0.025969887,-0.034213874,0.19162382,-0.34626606,-0.110271186,0.1816506,0.07727982,0.083352916,0.20386314,-0.018489392,0.17017263,0.043856915
0.56973636,-0.13407215,0.8018421,-0.42067137,-0.83022517,0.89867806,-0.3828645,-0.109984145,0.29985863,-0.50609064,0.21098778,-0.047368437,0.13897061,-0.08873241,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.89854836,-0.9,-0.9,-0.9014516,-0.9,-0.9,-0.9,-0.9,-0.9,-0.4599816,0.014576733,-0.9,-0.9,0.2818993,-0.3677959,-0.6752612,-0.9,-0.9,-0.9,-0.5713996,-0.9,-0.040024888,-0.9,0.57479775,-0.0714175,0.81495124,-0.42484945,-0.8207071,0.9080478,-0.38798648,-0.10494349,0.30777967,-0.52783644,0.21502693,-0.017419774,0.16633461,-0.09008859,-0.92312074,-0.9246193,-0.9285628,-0.93032044,-0.93563944,-0.9359963,-0.92464894,-0.9090442,-0.9245208,-0.9247661,-0.9254843,-0.930379,-0.91720647,-0.91634053,-0.924154,-0.9223991,-0.920396,-0.5083235,0.0699455,-0.9208982,-0.8946308,0.33294734,-0.309308,-0.50680655,-0.90510774,-0.930742,-0.8926221,-0.45371383,-0.9109659,-0.10013909,-0.9089701,-1.0823301,-0.574473,-0.3176743,0.6101543,-0.014372106,-0.05656136,-0.0031655866,-0.019815449,-0.025835043,-0.045576606,-0.004736295,0.038793612,-0.032414988,-0.052243546,-0.06492321,0.059912376,-0.016208086,0.09406492,0.09457528,-0.026192797,0.023625152,-0.0254016,0.035384323,-0.10460389,-0.015700946,0.078523144,0.07119438,0.09425874,-0.14719258,0.048013117,-0.10296936,-0.0705608,0.11744049,-0.07376871,-0.034534898,0.07625375,0.10189428,-0.051707916,-0.016223924,0.04009776,0.027096458,-0.010837957,0.017001238,-0.021293122,0.05905185,0.055913717,-0.00021942891,-0.07692686,-0.045081276,0.09953583,-0.048525583,-0.054365236,-0.1323586,-0.09687413,-0.037043456,0.018840266,-0.0517332,-0.008985122,-0.05892746,0.06404795,0.022472523,-0.14732534,-0.011605215,0.015418611,0.0032903042,0.033515707,-0.07361975,0.03093357,-0.119753905,-0.019819746,-0.06718744,0.086470865,-0.021778548,0.04263665,0.04230143,0.0021725653,-0.013305428,-0.0467748,0.017603211,0.045257498,-0.05650455,0.036958355,-0.0872161,-0.04697203,0.057107273,-0.03717427,0.036062222,0.029873457,0.11247502,-0.07495722,0.085126065,-0.101338744,0.06966463,-0.06321799,0.18947437,-0.3318328,-0.1106981,0.18657774,0.086478494,0.090441816,0.19706202,-0.03189694,0.16926956,0.044988856
0.56973636,-0.13408479,0.80188036,-0.4206839,-0.8302465,0.89867806,-0.3828645,-0.109984145,0.29901037,-0.50906515,0.21098778,-0.03157896,0.13897061,-0.0887324,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9043548,-0.9,-0.9,-0.9,-0.9,-0.9,-0.4669057,0.0036511302,-0.9,-0.9,0.28411794,-0.36764675,-0.6767348,-0.9,-0.9,-0.9,-0.57078797,-0.9,-0.04684934,-0.9,0.56205773,-0.105526105,0.8030316,-0.41865277,-0.8080712,0.90156686,-0.3803292,-0.10530524,0.30184504,-0.51422167,0.21685085,-0.02880327,0.14517722,-0.06973841,-0.92161405,-0.91945344,-0.92475957,-0.9282096,-0.93972826,-0.94190866,-0.9313346,-0.920427,-0.9141539,-0.9164766,-0.9147761,-0.9199878,-0.9171593,-0.91606545,-0.9220777,-0.9190752,-0.91415095,-0.5529456,0.059597656,-0.9206229,-0.89357865,0.32115746,-0.3343138,-0.5310011,-0.90496165,-0.9052164,-0.8952397,-0.44152075,-0.90506774,-0.08805199,-0.90351593,-1.2167485,-0.89332706,-0.31428948,0.58830136,-0.02490961,-0.11668318,-0.05266434,-0.05973613,-0.03798401,-0.10330939,0.0077916146,0.117567144,-0.079469554,-0.043511808,-0.14763357,0.1199131,-0.010190782,0.20670769,0.13535802,-0.07332386,0.060955826,-0.07151408,0.059162747,-0.1707242,-0.059583843,0.112589106,0.14876908,0.16122827,-0.2777079,0.12575446,-0.19324344,-0.15993957,0.2700472,-0.12155785,-0.082424276,0.16439621,0.14464615,-0.11137274,-0.02322353,0.089232795,0.07838424,-0.025188824,0.0938813,-0.12502404,0.103906676,0.11291913,-0.024144743,-0.19840592,-0.10039391,0.16724029,-0.07640271,-0.07629079,-0.1996301,-0.15471667,-0.051335394,0.020232499,-0.10293493,-0.045149766,-0.11274506,0.114179134,0.08144223,-0.3184769,-0.09723649,0.030792808,-0.019428603,0.03537736,-0.09995745,0.07449075,-0.19603461,-0.05119027,-0.09020046,0.12707873,-0.061625298,0.064853445,0.10454369,-0.009272108,-0.013466111,-0.08305575,0.059260484,0.0641318,-0.13395731,0.053920284,-0.121237814,-0.06501281,0.082827225,-0.09175682,0.094341174,0.08976661,0.1607559,-0.12884058,0.12906398,-0.15931709,0.104350485,-0.09972166,0.18853159,-0.31830782,-0.1143481,0.19198518,0.09848134,0.09907227,0.18976825,-0.043651275,0.16801023,0.050300818
0.56973636,-0.13407215,0.80188036,-0.4206839,-0.83023584,0.8986613,-0.3828645,-0.109984145,0.30028278,-0.5077903,0.21098778,-0.039473694,0.13897061,-0.07605634,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.89709675,-0.9,-0.9014516,-0.9,-0.9,-0.9,-0.9,-0.9,-0.4599873,0.012451673,-0.9,-0.9,0.28471884,-0.36335415,-0.6712649,-0.9,-0.9,-0.9,-0.5637773,-0.9,-0.054868557,-0.9,0.55590945,-0.13142605,0.79097563,-0.41375807,-0.801048,0.89546394,-0.3768716,-0.10279729,0.2880738,-0.49569193,0.2169722,-0.030069932,0.13103202,-0.0579691,-0.9145311,-0.9090948,-0.9149924,-0.9178277,-0.94061196,-0.943693,-0.93426514,-0.9265529,-0.9075088,-0.9077152,-0.9055391,-0.90951484,-0.9136207,-0.91317177,-0.91769236,-0.91388535,-0.9126102,-0.56796783,0.04041946,-0.91762465,-0.90062684,0.32479468,-0.34964746,-0.5487072,-0.90629506,-0.8881495,-0.8971759,-0.45197627,-0.902004,-0.08181719,-0.8972675,-1.3707354,-1.2422543,-0.3119647,0.5614388,-0.042132743,-0.17050722,-0.1095534,-0.093763284,-0.04435549,-0.15603405,0.008582432,0.21004605,-0.12944694,-0.025116865,-0.230404,0.16888237,0.00024645403,0.32143676,0.17702675,-0.12179983,0.09995733,-0.11875969,0.080239244,-0.2308205,-0.10538403,0.14856268,0.2350248,0.2241526,-0.40763646,0.20005247,-0.2639098,-0.24776474,0.41566625,-0.1736676,-0.14611009,0.24843618,0.18772843,-0.17869723,-0.03584567,0.14499523,0.12392578,-0.053839095,0.18237129,-0.23245569,0.15481438,0.18067895,-0.05428196,-0.32630846,-0.16763638,0.23763974,-0.10090597,-0.08871222,-0.25908726,-0.2057638,-0.06144932,0.017261319,-0.147719,-0.09025067,-0.17775029,0.15472789,0.13010165,-0.46666744,-0.202297,0.05342151,-0.050344605,0.041125596,-0.13084221,0.12269928,-0.26726717,-0.06838624,-0.10712487,0.17438695,-0.10215912,0.08088575,0.16097295,-0.009106721,-0.021239348,-0.12253584,0.09600031,0.08985743,-0.21903564,0.07490801,-0.14794715,-0.088036984,0.10037328,-0.16604768,0.1557885,0.14966556,0.19841294,-0.1761067,0.17764002,-0.21282491,0.12818804,-0.14471543,0.18885553,-0.3046574,-0.1215654,0.1975055,0.11376272,0.109052636,0.18172462,-0.05333917,0.16625917,0.060492087
0.56973636,-0.13407215,0.80188036,-0.42067137,-0.83023584,0.89867806,-0.3828645,-0.10998422,0.2994345,-0.50651556,0.21066566,-0.047368433,0.12573531,-0.08239438,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.89854836,-0.89709675,-0.9,-0.9043548,-0.9,-0.9,-0.9,-0.9,-0.9,-0.4600434,0.015786624,-0.9,-0.9,0.2852363,-0.36506903,-0.6708533,-0.9,-0.9,-0.9,-0.56787354,-0.9,-0.050004046,-0.9,0.5575633,-0.13897139,0.79162794,-0.4140361,-0.8048816,0.89416426,-0.37774622,-0.10139868,0.28187725,-0.48820233,0.21722889,-0.025522314,0.12673594,-0.05672256,-0.9080928,-0.90050524,-0.9060848,-0.9075957,-0.9412531,-0.94447917,-0.9358327,-0.9296591,-0.90347576,-0.9011167,-0.8990345,-0.9025943,-0.91086054,-0.9113165,-0.9146452,-0.90947455,-0.91428137,-0.56260055,0.03290622,-0.91572833,-0.9073003,0.32208058,-0.3557982,-0.56978554,-0.909793,-0.88241833,-0.89833486,-0.46995708,-0.9015314,-0.071024574,-0.89434,-1.5394962,-1.5897799,-0.3109305,0.52967244,-0.06660887,-0.21712488,-0.16981485,-0.12008879,-0.043326583,-0.19803114,-0.002281279,0.30653885,-0.18225718,-0.00068478275,-0.30886957,0.20514591,0.015176549,0.42520005,0.21588422,-0.16918579,0.13508615,-0.16364172,0.09889097,-0.28421757,-0.15173946,0.18762493,0.32408854,0.28078377,-0.5216339,0.26665244,-0.31685162,-0.32951963,0.5348425,-0.22308378,-0.22098586,0.32362348,0.22973736,-0.2498702,-0.05071546,0.20404446,0.15967128,-0.0960974,0.2764604,-0.33417252,0.2082704,0.2562951,-0.08620772,-0.44362354,-0.23791423,0.30656794,-0.1253452,-0.08966636,-0.31265193,-0.24944982,-0.06406078,0.009675473,-0.18696092,-0.14422067,-0.2510213,0.18756743,0.17030136,-0.5745858,-0.31631836,0.0804588,-0.08787591,0.055301446,-0.16667607,0.1763876,-0.33224216,-0.0718078,-0.12396705,0.22777759,-0.14373566,0.09057189,0.20974061,0.0021934279,-0.038250484,-0.1656914,0.12526286,0.122934796,-0.30327258,0.09975321,-0.17188051,-0.11652912,0.10993611,-0.25053588,0.21601768,0.20536178,0.22787577,-0.21472952,0.22904314,-0.26220477,0.14317286,-0.19671163,0.19024932,-0.29064572,-0.13213545,0.20298962,0.13239972,0.12024337,0.17313732,-0.06099294,0.16419691,0.07556219
0.56973636,-0.13404688,0.80188036,-0.4206839,-0.83023584,0.89867806,-0.3828645,-0.110223815,0.2994345,-0.5069405,0.21034354,-0.039473698,0.13566178,-0.08239438,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.89709675,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.46101314,0.0131626725,-0.9,-0.9,0.28333226,-0.36839604,-0.67599976,-0.9,-0.9,-0.9,-0.56626797,-0.9,-0.048374016,-0.9,0.5636739,-0.13737555,0.7983353,-0.41531062,-0.81266874,0.89528,-0.37971744,-0.103131786,0.28188968,-0.48858547,0.21535286,-0.019693473,0.12834607,-0.060606036,-0.90366715,-0.8947359,-0.8996839,-0.89983636,-0.942211,-0.9452235,-0.9371211,-0.9315509,-0.9017563,-0.8976207,-0.895577,-0.89947087,-0.9095032,-0.91062164,-0.9130176,-0.90619785,-0.9166587,-0.55465,0.030244607,-0.91528255,-0.9118796,0.3130894,-0.35813078,-0.5928017,-0.9132832,-0.88283944,-0.8991118,-0.4889003,-0.90223,-0.055467173,-0.8937848,-1.7153469,-1.9145645,-0.3114771,0.49344006,-0.097732,-0.2575969,-0.22992617,-0.13743614,-0.035000037,-0.22743645,-0.023560876,0.3971299,-0.23700237,0.026820168,-0.37985715,0.22965422,0.035344087,0.50977015,0.24925725,-0.21415044,0.16416033,-0.20442541,0.11564553,-0.33126697,-0.1985101,0.22980095,0.40888822,0.3296509,-0.60838765,0.3239456,-0.35346285,-0.4024663,0.6206277,-0.26604557,-0.30079713,0.38885975,0.26912272,-0.32071555,-0.06563995,0.26415586,0.18457808,-0.14963341,0.3686129,-0.42396802,0.26161784,0.33471847,-0.1158814,-0.53907484,-0.30485722,0.36941198,-0.1512652,-0.07901835,-0.35983106,-0.28493357,-0.056477994,-0.0020740281,-0.22095232,-0.20710614,-0.3292526,0.21311934,0.20466115,-0.64445335,-0.4272926,0.11101178,-0.13078453,0.07896447,-0.20580497,0.23497234,-0.38986102,-0.06253866,-0.14408076,0.28259087,-0.18603352,0.09376277,0.24990727,0.0235506,-0.06413676,-0.2119488,0.14579082,0.16215254,-0.3801493,0.12868541,-0.19540936,-0.15056375,0.11219199,-0.33497033,0.27243993,0.25409576,0.250962,-0.24482127,0.28052565,-0.30791634,0.15150118,-0.25454924,0.19237457,-0.27623257,-0.14552072,0.20831986,0.15424515,0.1325489,0.1644128,-0.06685549,0.16203226,0.09521883
0.56973636,-0.13407215,0.80188036,-0.4206839,-0.83023584,0.89867806,-0.3828645,-0.10998422,0.2994345,-0.5082153,0.21034354,-0.039473698,0.13566178,-0.08873241,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.89854836,-0.89709675,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.46317607,0.013929891,-0.9,-0.9,0.29196006,-0.36366007,-0.67885464,-0.9,-0.9,-0.9,-0.5681189,-0.9,-0.050809942,-0.9,0.5698177,-0.13230024,0.80588615,-0.414708,-0.8205064,0.8969218,-0.38177094,-0.107033476,0.286212,-0.49261138,0.21238098,-0.012983718,0.1332082,-0.065417625,-0.9008771,-0.8909413,-0.89517486,-0.89424044,-0.9431026,-0.9458169,-0.93810797,-0.93274355,-0.9015426,-0.8966081,-0.8943939,-0.8991273,-0.9093258,-0.9107612,-0.9123531,-0.90393275,-0.91869503,-0.5499701,0.025999237,-0.91567916,-0.9142431,0.30036572,-0.36020327,-0.6149668,-0.91550756,-0.88511896,-0.8995324,-0.5048938,-0.9030655,-0.042565145,-0.89413416,-1.8900446,-2.2019224,-0.3138258,0.4533927,-0.13432376,-0.29332924,-0.28669965,-0.14507659,-0.020425277,-0.24415255,-0.05363992,0.4734742,-0.29122448,0.054524817,-0.44077352,0.24430989,0.060520455,0.5723143,0.27559158,-0.25508904,0.18547024,-0.23971985,0.1307326,-0.37153926,-0.24503607,0.2737391,0.48226312,0.37050256,-0.66661185,0.37198055,-0.3757425,-0.46456683,0.6768946,-0.3012057,-0.3786175,0.44387263,0.30488366,-0.3865678,-0.0788838,0.32271257,0.19950731,-0.21118353,0.4507085,-0.4970134,0.3126728,0.40980294,-0.1405056,-0.6088001,-0.36394602,0.42269084,-0.17887478,-0.057481546,-0.40009055,-0.31152484,-0.037245166,-0.017460572,-0.24896209,-0.27657488,-0.406683,0.23064555,0.23573533,-0.6870935,-0.5232134,0.14423764,-0.17753395,0.11123186,-0.24547954,0.29624477,-0.4393232,-0.04181653,-0.16886646,0.3346059,-0.22788455,0.09016728,0.28057346,0.05366439,-0.09801405,-0.25995108,0.15668136,0.20577194,-0.4447015,0.1614141,-0.21986687,-0.18947496,0.107351415,-0.410238,0.3224872,0.29420114,0.26921242,-0.26737586,0.32971898,-0.3500631,0.15478589,-0.3157064,0.19486319,-0.26146656,-0.16100031,0.2134487,0.17892109,0.14589125,0.15598796,-0.07131987,0.1599371,0.11895809
0.56973636,-0.13405952,0.80188036,-0.4206839,-0.83023584,0.89867806,-0.3828645,-0.109984145,0.29985866,-0.5073654,0.21002142,-0.047368433,0.13897061,-0.09507043,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.89709675,-0.9,-0.9029032,-0.9,-0.9,-0.9,-0.9,-0.9,-0.4609414,0.0009855509,-0.9,-0.9,0.29223654,-0.37460595,-0.681974,-0.9,-0.9,-0.9,-0.57343566,-0.9,-0.051326267,-0.9,0.5748849,-0.12783407,0.81166786,-0.41236347,-0.82664365,0.8985096,-0.38306087,-0.112242766,0.2918818,-0.4974181,0.20897204,-0.0074117244,0.13871256,-0.069823235,-0.9000386,-0.8892451,-0.8928907,-0.891368,-0.94441384,-0.946777,-0.93935317,-0.9340365,-0.90231895,-0.89723706,-0.8946939,-0.90031034,-0.90984887,-0.9113769,-0.91238505,-0.9026149,-0.92048085,-0.54765534,0.019507265,-0.9167601,-0.91565156,0.29001665,-0.36226493,-0.6340637,-0.9167152,-0.8881405,-0.89975893,-0.51874304,-0.9041111,-0.03200703,-0.8949257,-2.0569708,-2.4444213,-0.31804213,0.4103012,-0.17475846,-0.32555082,-0.33746222,-0.14264883,-0.0011166944,-0.24889441,-0.090619706,0.53123873,-0.34165028,0.07985973,-0.49016696,0.25101623,0.08998877,0.6148196,0.29468206,-0.29033563,0.19776757,-0.26821324,0.14413679,-0.40461633,-0.2901867,0.3174104,0.53979456,0.4039787,-0.7023027,0.41158795,-0.38611227,-0.5149316,0.7122529,-0.32863387,-0.44830328,0.4888832,0.3365412,-0.4435102,-0.0889972,0.37679806,0.20616405,-0.27665657,0.51689386,-0.55138975,0.35986,0.47610044,-0.15821195,-0.65574396,-0.41266245,0.4649072,-0.20781526,-0.02590743,-0.43348193,-0.32890722,-0.0061317994,-0.036060836,-0.27021712,-0.3481855,-0.4768204,0.23908815,0.26505393,-0.713179,-0.5969393,0.17924781,-0.22605518,0.15047565,-0.28273702,0.35687062,-0.48045197,-0.01105896,-0.19831401,0.38083476,-0.26752105,0.07937135,0.30118054,0.09094974,-0.13868956,-0.30775136,0.1572819,0.25176132,-0.4945673,0.19686088,-0.24584132,-0.23195013,0.09536999,-0.4702842,0.3641933,0.3247651,0.28390223,-0.28389156,0.37472785,-0.38857383,0.15421104,-0.37646672,0.19741894,-0.24645983,-0.17781703,0.21845731,0.20584205,0.16018057,0.14823687,-0.07485039,0.15801956,0.14611107
0.56973636,-0.13405952,0.80188036,-0.42069638,-0.83023584,0.89867806,-0.3828645,-0.10998422,0.2973139,-0.5077903,0.21034354,-0.055263173,0.14227943,-0.08239438,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.8912903,-0.9,-0.9043548,-0.9,-0.9,-0.9,-0.9,-0.9,-0.46302396,0.011828542,-0.9,-0.9,0.28913826,-0.36427644,-0.674253,-0.9,-0.9,-0.9,-0.56527483,-0.9,-0.056930207,-0.9,0.5776808,-0.12553063,0.8150737,-0.4088965,-0.83105975,0.89974797,-0.38348207,-0.11743987,0.2973014,-0.50148135,0.20634238,-0.0034092457,0.14342134,-0.07313419,-0.900959,-0.8893586,-0.8925376,-0.8910473,-0.94616663,-0.94813037,-0.94093794,-0.9356364,-0.9036901,-0.89876205,-0.8957533,-0.9021459,-0.91056085,-0.91216516,-0.91283804,-0.90204155,-0.9220191,-0.5446422,0.011167397,-0.9179446,-0.91653943,0.2835629,-0.36472976,-0.64948213,-0.9169291,-0.8914101,-0.8997551,-0.53052247,-0.90529996,-0.025044888,-0.89567906,-2.2125585,-2.640895,-0.32402346,0.36500823,-0.21730365,-0.35515797,-0.38043007,-0.13023168,0.02118406,-0.24265741,-0.13218325,0.5707121,-0.38542962,0.10067864,-0.52814454,0.25174123,0.12271053,0.6416693,0.30706084,-0.31850544,0.20039701,-0.28916448,0.15575853,-0.43052128,-0.33270603,0.358729,0.5808632,0.43121654,-0.7229157,0.44383836,-0.3869683,-0.5541952,0.7347192,-0.34929156,-0.5060096,0.52492684,0.3640297,-0.48950633,-0.09505636,0.4239522,0.20652111,-0.3412489,0.5654492,-0.58861935,0.40209526,0.5302568,-0.16807486,-0.6857772,-0.45049223,0.49613702,-0.23733939,0.014777913,-0.46068045,-0.33739403,0.036242854,-0.057526633,-0.284244,-0.41653195,-0.53485847,0.23770382,0.2936276,-0.7298548,-0.6483694,0.21500604,-0.2741109,0.19448921,-0.31521642,0.4133104,-0.51385885,0.028033428,-0.23163037,0.41973346,-0.30328736,0.061233956,0.31210127,0.13354361,-0.18448329,-0.35312903,0.14743003,0.2979594,-0.5299809,0.23367515,-0.27328753,-0.2760154,0.07594092,-0.51322025,0.3966438,0.34569216,0.29624343,-0.29595944,0.4144648,-0.4234738,0.15060525,-0.4327906,0.19985372,-0.23135854,-0.19528148,0.22353853,0.23426579,0.17529218,0.14144045,-0.07789911,0.15632403,0.17587775
0.56973636,-0.13407215,0.80188036,-0.42072138,-0.83023584,0.8986613,-0.3828645,-0.11190113,0.2956174,-0.50609064,0.20647812,-0.05526317,0.13566178,-0.08239438,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9029032,-0.9,-0.9,-0.9,-0.9,-0.9,-0.46200573,0.010712957,-0.9,-0.9,0.28578958,-0.37110004,-0.6723373,-0.9,-0.9,-0.9,-0.5702498,-0.9,-0.051596742,-0.9,0.57797295,-0.12539852,0.8167671,-0.40531623,-0.834192,0.9008664,-0.38378525,-0.12143951,0.30270487,-0.5044433,0.20565154,-0.00014086813,0.14698908,-0.075099856,-0.9029298,-0.89059275,-0.8932231,-0.8922483,-0.948033,-0.9495993,-0.9425659,-0.93726736,-0.90485847,-0.9002246,-0.8967162,-0.90385276,-0.9111662,-0.9128649,-0.91350734,-0.90198576,-0.9235079,-0.53972876,0.004163785,-0.9189426,-0.9169453,0.28117365,-0.36667073,-0.66101736,-0.91630554,-0.89421016,-0.8992555,-0.5391852,-0.90655893,-0.02334021,-0.8959193,-2.3554268,-2.7944794,-0.33153495,0.31841317,-0.2601547,-0.38264653,-0.41489747,-0.1081894,0.04489734,-0.22646412,-0.17590342,0.5949701,-0.42077655,0.11537438,-0.55599695,0.24816808,0.15755811,0.6573834,0.313737,-0.33881745,0.19323018,-0.30245328,0.16559784,-0.44983736,-0.37147102,0.39605618,0.6076365,0.45350224,-0.73418015,0.4698438,-0.38032803,-0.58398575,0.74965894,-0.36452714,-0.55073774,0.5534329,0.38754645,-0.52449876,-0.09656606,0.4627801,0.20229003,-0.40045694,0.5981927,-0.61208737,0.43884593,0.57165927,-0.16982296,-0.7044793,-0.47839838,0.51761305,-0.26658657,0.06351339,-0.4826095,-0.3375967,0.08847552,-0.081540875,-0.2908849,-0.47688392,-0.57917106,0.22611243,0.3217294,-0.7411353,-0.6819899,0.25050402,-0.3196193,0.24085926,-0.3413708,0.46275645,-0.54068834,0.07354251,-0.2675292,0.45092574,-0.33388042,0.035884485,0.3142317,0.17940871,-0.23327105,-0.39411068,0.12722664,0.34232694,-0.5529504,0.27034461,-0.30168268,-0.31941286,0.048849005,-0.5404371,0.42008907,0.35749185,0.30728483,-0.30500665,0.44858128,-0.45489028,0.1445568,-0.48150793,0.20206828,-0.21631142,-0.2128171,0.2289243,0.26336148,0.19105294,0.135792,-0.080841735,0.15484533,0.20736046
