in position0,in position1,in position2,in position3,in position4,in position5,in position6,in torque0,in torque1,in torque2,in torque3,in torque4,in torque5,in torque6,in tactile0,in tactile1,in tactile2,in tactile3,in tactile4,in tactile5,in tactile6,in tactile7,in tactile8,in tactile9,in tactile10,in tactile11,in tactile12,in tactile13,in tactile14,in tactile15,out position0,out position1,out position2,out position3,out position4,out position5,out position6,out torque0,out torque1,out torque2,out torque3,out torque4,out torque5,out torque6,out tactile0,out tactile1,out tactile2,out tactile3,out tactile4,out tactile5,out tactile6,out tactile7,out tactile8,out tactile9,out tactile10,out tactile11,out tactile12,out tactile13,out tactile14,out tactile15,cf_pca0,cf_pca1,cs_pca0,cs_pca1,cf_states0,cf_states1,cf_states2,cf_states3,cf_states4,cf_states5,cf_states6,cf_states7,cf_states8,cf_states9,cf_states10,cf_states11,cf_states12,cf_states13,cf_states14,cf_states15,cf_states16,cf_states17,cf_states18,cf_states19,cf_states20,cf_states21,cf_states22,cf_states23,cf_states24,cf_states25,cf_states26,cf_states27,cf_states28,cf_states29,cf_states30,cf_states31,cf_states32,cf_states33,cf_states34,cf_states35,cf_states36,cf_states37,cf_states38,cf_states39,cf_states40,cf_states41,cf_states42,cf_states43,cf_states44,cf_states45,cf_states46,cf_states47,cf_states48,cf_states49,cf_states50,cf_states51,cf_states52,cf_states53,cf_states54,cf_states55,cf_states56,cf_states57,cf_states58,cf_states59,cf_states60,cf_states61,cf_states62,cf_states63,cf_states64,cf_states65,cf_states66,cf_states67,cf_states68,cf_states69,cf_states70,cf_states71,cf_states72,cf_states73,cf_states74,cf_states75,cf_states76,cf_states77,cf_states78,cf_states79,cf_states80,cf_states81,cf_states82,cf_states83,cf_states84,cf_states85,cf_states86,cf_states87,cf_states88,cf_states89,cs_states0,cs_states1,cs_states2,cs_states3,cs_states4,cs_states5,cs_states6,cs_states7,cs_states8,cs_states9
0.56973636,-0.13404688,0.80188036,-0.42063385,-0.8302039,0.8987115,-0.38275614,-0.10902548,0.2990104,-0.50906515,0.2096993,-0.015789485,0.15220591,-0.08239438,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.89854836,-0.9,-0.9,-0.9,-0.9,-0.9,0.48959914,-0.11433226,0.706491,-0.3611628,-0.74605983,0.75656897,-0.36998713,-0.11013416,0.3209855,-0.51411754,0.20414037,0.00046146286,0.20399874,-0.10449966,-0.8820975,-0.9024426,-0.8914194,-0.89724845,-0.8998278,-0.85718656,-0.8596647,-0.84909976,-0.8317556,-0.8428274,-0.8580036,-0.8302854,-0.8708164,-0.87669647,-0.8433869,-0.84861517,1.2242788,-0.35444084,0.75689477,0.33987197,-0.0037650487,0.045164473,0.008412723,0.03062278,0.008615984,0.046394333,0.016798366,0.01834965,-0.032722224,0.01613245,-0.028409306,0.024848036,0.013107177,0.018190956,0.022409989,0.049589593,-0.013505124,0.0024828494,-0.031540412,0.0057360176,-0.009782212,-0.0042985156,-0.008826064,0.009285932,-0.015428728,-0.019985618,0.030099882,-0.019335944,0.02040194,0.006677635,0.010111798,-0.0209098,-0.026148828,0.022209061,0.012785191,-0.003931775,-0.011162074,0.019286135,0.0005719397,-0.0029740618,-0.04209422,-0.0063983765,0.018871905,-0.048012238,0.041066047,0.0060453718,0.043679573,0.016547037,0.050092734,0.05312298,-0.0005426555,-0.009188917,0.05395928,-0.021188885,-0.009880728,0.010308259,0.028047793,-0.021831872,-0.017457202,-0.053247727,-0.043867413,0.016158873,0.03620425,0.024529498,0.013186902,0.019491393,0.02572691,0.022569185,-0.020428365,-0.00079779234,-0.025094494,0.05783595,0.020631753,0.020627066,-0.016226701,-0.012770564,0.04195275,-0.007020184,0.04326407,0.017859954,0.012071237,-0.009527351,-0.020074267,0.0065904544,0.016856324,0.03420235,-0.020365484,0.018373124,-0.0031142514,-0.0016125992,-0.1806234,-0.0691921,0.10178562,0.20595436,-0.27381206,0.047735166,-0.034634825,0.10805175,-0.16682844,-0.15727735
0.56973636,-0.13404688,0.80188036,-0.42063385,-0.83022517,0.89869475,-0.38275614,-0.10998395,0.29858628,-0.5094901,0.21066566,-0.015789488,0.14558826,-0.06338029,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9014516,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.56661385,-0.13276058,0.7893444,-0.40508264,-0.8305827,0.8637995,-0.42875895,-0.10207948,0.35020122,-0.5671117,0.23709424,0.0019977924,0.18767937,-0.09290937,-0.94208735,-0.95052963,-0.9442411,-0.95357394,-0.94250613,-0.9227482,-0.9090713,-0.9001049,-0.9156161,-0.91906357,-0.9222564,-0.91420317,-0.9446528,-0.9601048,-0.9412654,-0.94152594,1.3955325,-0.44647825,0.746381,0.32577932,0.034863245,0.023434104,0.06643915,0.010717844,-0.011081708,0.07612962,-0.011141196,0.04454263,0.004639996,0.052964777,-0.08732923,0.061488573,-0.043647867,-0.032923494,0.0011022198,0.08389054,0.0127655445,-0.04177898,-0.07507352,-0.006624589,-0.058525577,-0.0004429824,0.0149806095,0.0506601,-0.08931662,-0.048837736,0.0052690464,-0.071651086,0.06285062,-0.023468759,0.010500342,-0.08197592,-0.03367809,0.12600282,0.06817189,0.04053657,-0.024151027,0.047101457,0.0799055,0.016152758,-0.102565385,-0.04309364,0.08785525,-0.16311155,0.023754118,-0.010663053,0.08109353,0.0496233,0.08058405,0.118020855,-0.034088105,-0.03929137,0.14207588,0.009856329,-0.022763845,0.011094242,0.0661865,0.012473567,-0.038990844,-0.034109935,0.009816662,0.008122907,0.09883183,0.067901544,0.012642841,0.06308734,-0.06333721,-0.005286622,-0.02976382,-0.01912389,-0.035535995,0.13329947,-0.06302089,0.05763035,-0.114606164,-0.03933694,0.106692545,0.0069725793,0.029307524,0.026830181,-0.017694082,0.018714534,-0.049082704,0.009764755,0.02346417,0.07964915,-0.024493847,-0.008067884,-0.020382747,0.05611008,-0.18064159,-0.06553077,0.09290163,0.19198123,-0.2751552,0.041725505,-0.039491616,0.107103616,-0.15040667,-0.16136228
0.56973636,-0.13404688,0.80188036,-0.42064637,-0.83021456,0.8987115,-0.38275614,-0.10806704,0.29816216,-0.5086402,0.21034354,-1.5598774e-08,0.15220591,-0.101408444,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9029032,-0.9043548,-0.9,-0.9,-0.9,-0.89709675,-0.9,-0.9,-0.9,-0.9,-0.9,0.58592665,-0.13680393,0.79236895,-0.4093786,-0.8383115,0.8793923,-0.40815976,-0.11410738,0.3069334,-0.54443014,0.22014825,-0.008497529,0.14572392,-0.07843134,-0.93645114,-0.9426507,-0.93820053,-0.9475417,-0.9356671,-0.9240445,-0.91188645,-0.9012928,-0.92380637,-0.92823404,-0.9268136,-0.9217426,-0.94625133,-0.96550196,-0.94696903,-0.94484836,1.64844,-0.58463264,0.7372253,0.31136447,0.091063745,-0.032044742,0.14280166,-0.04829754,-0.03575821,0.10223406,-0.045268923,0.06800062,0.07715214,0.11437877,-0.15332733,0.08936335,-0.12134218,-0.11215132,-0.042719897,0.109901235,0.051966097,-0.09499207,-0.133672,-0.030224597,-0.10919988,0.0062740566,0.047175284,0.10265763,-0.19660811,-0.084675096,-0.036181748,-0.13502279,0.12385895,-0.066262394,-0.004351052,-0.16396458,-0.021710165,0.25603265,0.13872631,0.09940883,-0.04152617,0.08364645,0.18838519,0.045045115,-0.15961811,-0.10041252,0.15268406,-0.28806382,-0.001035133,-0.034951244,0.117900856,0.08733235,0.09753244,0.19074674,-0.08910772,-0.08391001,0.24544838,0.045024052,-0.043957073,0.015172113,0.11369082,0.074049294,-0.06963146,0.018277189,0.098439924,-0.003340889,0.1555187,0.13864437,-0.00412244,0.1160535,-0.198397,-0.057665516,-0.033670343,-0.036656003,-0.059742715,0.23141107,-0.15821566,0.11719043,-0.2503621,-0.07966297,0.172969,0.04239395,-0.0012438477,0.03626395,-0.0669313,0.06644122,-0.07083228,0.012549727,0.024829132,0.13090946,-0.023198003,-0.044553395,-0.045791626,0.13191704,-0.18158345,-0.061583456,0.08384643,0.17914236,-0.2756119,0.03352546,-0.045391925,0.10729348,-0.1372596,-0.1666771
0.56973636,-0.13404688,0.80188036,-0.42063385,-0.83023584,0.89872825,-0.38272908,-0.108306676,0.29688978,-0.5073654,0.21098778,-0.00789475,0.14889708,-0.0887324,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9029032,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.59814185,-0.14035513,0.7963056,-0.40491512,-0.839868,0.88720053,-0.38041398,-0.1326691,0.2902228,-0.5210598,0.20622112,-0.016600167,0.12259079,-0.071580164,-0.92382526,-0.9276974,-0.92641354,-0.9365175,-0.93097717,-0.9223113,-0.9144325,-0.902378,-0.9256325,-0.9295707,-0.9254448,-0.9218376,-0.93896806,-0.9605145,-0.9405581,-0.93671846,1.9217955,-0.7418879,0.7297905,0.29630125,0.14760512,-0.095937796,0.21500358,-0.12516248,-0.051508825,0.13246846,-0.07449835,0.087025695,0.15769663,0.18857995,-0.20931917,0.11173671,-0.19332013,-0.20331757,-0.100408465,0.12614548,0.0925986,-0.14905922,-0.19129653,-0.059180666,-0.14341001,0.010929795,0.08270772,0.15258627,-0.30462894,-0.12148617,-0.0838941,-0.18942069,0.19367254,-0.10898081,-0.028600084,-0.24486117,-0.0060971817,0.3764723,0.21035306,0.1524268,-0.053972647,0.12889324,0.2962734,0.07360995,-0.20373547,-0.167668,0.20682964,-0.39526585,-0.017830333,-0.06371773,0.15925118,0.12614113,0.11478898,0.2644735,-0.15087964,-0.13499843,0.35047278,0.07181317,-0.06430028,0.02228139,0.16046791,0.15071572,-0.10897644,0.07902845,0.18230562,-0.010569342,0.20143819,0.2182603,-0.02417508,0.16701499,-0.33470184,-0.11543075,-0.03238347,-0.048057284,-0.09892918,0.33257136,-0.23405024,0.18197782,-0.3799126,-0.12447403,0.22910634,0.08054478,-0.020255962,0.03880516,-0.117699474,0.1164116,-0.08522789,0.015889011,0.024957335,0.18482524,-0.025283108,-0.07356487,-0.068853706,0.19486319,-0.18334591,-0.057098106,0.074502766,0.16735531,-0.27446118,0.02283485,-0.052391246,0.10883799,-0.12776141,-0.17330186
0.56973636,-0.13404688,0.80188036,-0.42064637,-0.83023584,0.89867806,-0.38275614,-0.10926511,0.29773802,-0.5069405,0.20905507,-0.015789485,0.15220591,-0.076056354,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9014516,-0.9,-0.9,-0.9,-0.9,-0.89854836,-0.9,-0.9,-0.9,-0.9,-0.9,0.59841734,-0.14585079,0.8036672,-0.40648457,-0.8406767,0.89482534,-0.3628266,-0.13656767,0.28935778,-0.50444853,0.20636578,-0.016582813,0.11226341,-0.06615069,-0.91185635,-0.9139254,-0.91773915,-0.9285564,-0.92985266,-0.92210895,-0.9173523,-0.90390563,-0.92588204,-0.92784274,-0.9235041,-0.92021817,-0.9303531,-0.9533991,-0.93267107,-0.9272032,2.1930969,-0.89834076,0.7239751,0.28035408,0.2024009,-0.1602985,0.2812111,-0.20746303,-0.057592217,0.16821907,-0.09731401,0.10086845,0.23600768,0.26683608,-0.2541775,0.13283427,-0.2543289,-0.29827,-0.16571851,0.13329817,0.13302624,-0.20733571,-0.23796727,-0.08824569,-0.16299158,0.010861165,0.11989706,0.19693749,-0.39871448,-0.15712076,-0.13416588,-0.22665107,0.26421738,-0.14783151,-0.054919254,-0.31426284,0.0060801883,0.47732085,0.27972955,0.19724591,-0.060771555,0.17828225,0.38933086,0.09958275,-0.23515579,-0.23486239,0.25503018,-0.48004532,-0.022430133,-0.09716975,0.20454049,0.16637255,0.13527477,0.33243826,-0.21320626,-0.18713343,0.4441966,0.092161335,-0.08155147,0.03274542,0.20339249,0.23186305,-0.15311535,0.13965186,0.25316113,-0.010817196,0.23742582,0.29653445,-0.04756126,0.2125067,-0.4521663,-0.17272063,-0.025254428,-0.055524845,-0.14932519,0.4234339,-0.29089943,0.24197412,-0.48359776,-0.17067151,0.27322984,0.116482824,-0.023242738,0.033902135,-0.16433541,0.1641999,-0.09686074,0.020327546,0.022425324,0.24094078,-0.03351421,-0.09263227,-0.08739657,0.23981059,-0.18604949,-0.05198532,0.064597756,0.15634458,-0.27191466,0.0097059,-0.060368672,0.11169826,-0.12167202,-0.18108094
0.56973636,-0.13404688,0.80188036,-0.42067137,-0.83023584,0.8987115,-0.38275614,-0.10926511,0.30028278,-0.5073654,0.2096993,-0.00789475,0.14558826,-0.095070414,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9043548,-0.9029032,-0.9,-0.89709675,-0.89709675,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.59226626,-0.15041496,0.81191283,-0.41117707,-0.84144974,0.90194,-0.353855,-0.13225362,0.2939468,-0.49461243,0.21139923,-0.013017258,0.10929873,-0.06349812,-0.90180343,-0.9025206,-0.9119722,-0.9238859,-0.9296273,-0.92256397,-0.91958666,-0.9049548,-0.9246433,-0.92418796,-0.9206731,-0.91739714,-0.9220203,-0.94596356,-0.92495674,-0.91809326,2.450759,-1.0426142,0.71951747,0.26336342,0.25587627,-0.22273146,0.341825,-0.2882074,-0.056740403,0.20853226,-0.11497398,0.109081425,0.30823874,0.34261253,-0.28942522,0.1549486,-0.30355492,-0.3885299,-0.23390643,0.13305533,0.17241514,-0.26935965,-0.2718273,-0.1146893,-0.172395,0.005681087,0.15745625,0.23529,-0.47341064,-0.18989085,-0.18509492,-0.24571405,0.33092818,-0.18283841,-0.07916302,-0.36947072,0.014682455,0.55551064,0.3440832,0.23527315,-0.06203567,0.22824156,0.46120504,0.12288416,-0.25575095,-0.2970153,0.29865307,-0.54306316,-0.01514385,-0.13530508,0.25206026,0.20726503,0.1579598,0.39109215,-0.2721188,-0.2382285,0.5191424,0.10824851,-0.09619326,0.04726206,0.2424546,0.30949885,-0.19801612,0.19706179,0.310729,-0.0041406266,0.26454842,0.36736912,-0.07550482,0.25155365,-0.54143983,-0.22608179,-0.012514521,-0.061404057,-0.20802183,0.49775147,-0.3329048,0.29331172,-0.55702907,-0.21725367,0.30654007,0.1496246,-0.011734978,0.022997687,-0.20551492,0.20881136,-0.108872384,0.024606742,0.0151576325,0.29834822,-0.04715664,-0.10322104,-0.10249473,0.26925755,-0.18971138,-0.046171457,0.0539323,0.14586338,-0.2684127,-0.0057147555,-0.06915188,0.1157514,-0.1185591,-0.18978803
0.56973636,-0.13404688,0.80188036,-0.42065886,-0.83023584,0.89869475,-0.38275614,-0.109265156,0.29773802,-0.509915,0.21066566,0.007894723,0.14889708,-0.08239438,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9029032,-0.9,-0.9,-0.9,-0.89854836,-0.9,-0.9,-0.9,-0.9,-0.9,0.5835979,-0.15419082,0.8199098,-0.4151909,-0.84218395,0.9081745,-0.3505784,-0.12787795,0.30071497,-0.49037504,0.21492052,-0.008855957,0.10991779,-0.065476306,-0.89412004,-0.893936,-0.9084229,-0.92186075,-0.9292713,-0.9231187,-0.9210152,-0.9053197,-0.9222073,-0.9197047,-0.91705143,-0.9140417,-0.9144829,-0.93872434,-0.91787916,-0.90985197,2.6882904,-1.1671146,0.7160942,0.24523294,0.3079752,-0.28120407,0.39657193,-0.3624319,-0.05163461,0.25186294,-0.12885956,0.11154833,0.37228066,0.41092303,-0.31623223,0.17871512,-0.34127408,-0.46676898,-0.30104408,0.12687577,0.20984326,-0.33216164,-0.2937838,-0.1380108,-0.17477007,-0.004072163,0.19511564,0.2673946,-0.52834857,-0.218241,-0.23464307,-0.24845925,0.39070505,-0.21401007,-0.09924053,-0.41118962,0.020933058,0.61271614,0.40043032,0.26808363,-0.057680283,0.27641544,0.51233006,0.14339109,-0.2675642,-0.35161617,0.33706632,-0.58709216,0.0025522579,-0.17690855,0.29984918,0.24774571,0.18150069,0.43927917,-0.325208,-0.28645325,0.5745775,0.121396564,-0.10914351,0.06633165,0.2772236,0.37826768,-0.24054745,0.2489243,0.35537827,0.008630471,0.28445107,0.42726806,-0.10772202,0.28376696,-0.6022845,-0.27350542,0.0050913272,-0.06773975,-0.27168536,0.5543478,-0.3639713,0.334478,-0.604261,-0.26379701,0.33093318,0.17969978,0.011958974,0.0075107054,-0.24076082,0.24950498,-0.12228536,0.028255684,0.0026542249,0.3556057,-0.0648961,-0.107424565,-0.1147338,0.28627655,-0.19424228,-0.039617237,0.042384822,0.13573922,-0.26441082,-0.023245761,-0.078558646,0.12082766,-0.11791872,-0.19918461
0.56973636,-0.13404688,0.80188036,-0.42067137,-0.8302465,0.8987115,-0.38275614,-0.10806708,0.29943454,-0.50906515,0.2096993,-0.015789485,0.14889708,-0.057042252,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9043548,-0.9029032,-0.9,-0.89709675,-0.89709675,-0.89854836,-0.9,-0.9,-0.9,-0.9,-0.9,0.57411563,-0.15805118,0.82739204,-0.41759533,-0.8431973,0.9133176,-0.34984538,-0.12399108,0.3095362,-0.4897068,0.21793525,-0.0039493646,0.112302974,-0.068468705,-0.8883304,-0.88733995,-0.9059914,-0.92103326,-0.928434,-0.92327756,-0.92161036,-0.90509564,-0.9196201,-0.91570044,-0.91378987,-0.9115172,-0.9081887,-0.93194073,-0.9116635,-0.9028279,2.9026625,-1.2672487,0.713347,0.2259007,0.35783964,-0.33388236,0.44508997,-0.42660323,-0.0447053,0.2962776,-0.14031072,0.108696066,0.42705277,0.46848807,-0.33566055,0.2041352,-0.36867097,-0.52879715,-0.36371475,0.11603209,0.24446043,-0.39214027,-0.30542824,-0.15858069,-0.1724698,-0.017343527,0.23271853,0.29297507,-0.5664018,-0.2410825,-0.2808461,-0.23755442,0.4415747,-0.24119611,-0.114244096,-0.4416438,0.025848132,0.6534335,0.4467283,0.29676434,-0.04756974,0.3212632,0.5466024,0.16068259,-0.27259254,-0.39756998,0.36945,-0.6163274,0.02893171,-0.22003089,0.3459087,0.2865926,0.20492171,0.4772566,-0.3712789,-0.32999906,0.61375517,0.1325425,-0.1209993,0.090117,0.30706868,0.4352695,-0.2785241,0.2933741,0.38786972,0.02647773,0.29898393,0.4749834,-0.14323226,0.3090732,-0.64053166,-0.3140509,0.0268629,-0.076127276,-0.33627987,0.59529424,-0.38757163,0.36542857,-0.6327307,-0.3097915,0.34838182,0.20644084,0.045273427,-0.011451294,-0.26982173,0.28575695,-0.13694876,0.031356703,-0.014758199,0.41051424,-0.0855103,-0.107254796,-0.124342725,0.2935881,-0.19946711,-0.03233551,0.029869445,0.12587093,-0.26031476,-0.042680766,-0.08840661,0.12670688,-0.11921003,-0.20904061
0.56973636,-0.13404688,0.80188036,-0.42067137,-0.8302785,0.89872825,-0.38275614,-0.10974431,0.2990104,-0.5086402,0.21034354,-0.023684222,0.14889708,-0.07605634,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9043548,-0.9014516,-0.9029032,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.5644631,-0.16319965,0.8340709,-0.4176657,-0.84415287,0.9174869,-0.35048932,-0.121448815,0.31905594,-0.49037132,0.22031388,0.0006980336,0.11505047,-0.07139229,-0.88390636,-0.88257134,-0.90458524,-0.92130107,-0.9274765,-0.9233643,-0.92192113,-0.9049278,-0.9174536,-0.91286564,-0.9113751,-0.9099272,-0.9031422,-0.9258056,-0.9063046,-0.8971068,3.0928342,-1.3421986,0.71090704,0.2053362,0.40424252,-0.3792365,0.48731756,-0.479182,-0.037908122,0.33964935,-0.15053834,0.10130095,0.4724922,0.5141482,-0.34876984,0.23078658,-0.38757306,-0.57458454,-0.41927758,0.10178783,0.27574387,-0.4459879,-0.3082764,-0.17707086,-0.167007,-0.032979574,0.2696519,0.31209978,-0.59166765,-0.2581855,-0.32222354,-0.2154008,0.4829689,-0.26447397,-0.123740144,-0.46355423,0.029860819,0.6824629,0.48271218,0.32182115,-0.031708963,0.36175784,0.5685869,0.17421341,-0.2728817,-0.43473676,0.39571822,-0.6349708,0.06245893,-0.26237276,0.38827026,0.32274938,0.22759987,0.5061536,-0.41036513,-0.36775735,0.6411603,0.1423699,-0.13202944,0.118372925,0.33151746,0.48001045,-0.3109001,0.32943717,0.40957743,0.048269942,0.3098808,0.51105404,-0.1809548,0.32788828,-0.6635523,-0.34769416,0.052309368,-0.08759971,-0.39780894,0.6240769,-0.40609497,0.3872237,-0.64934707,-0.35433957,0.36070338,0.2296613,0.08553224,-0.0332842,-0.29284546,0.3174618,-0.15206394,0.033605523,-0.036469787,0.4607092,-0.10791756,-0.1045069,-0.1316785,0.29344693,-0.20515358,-0.024390629,0.016322527,0.11621891,-0.2564566,-0.063788,-0.09852617,0.13312544,-0.12189353,-0.21914762
0.56973636,-0.13405952,0.80188036,-0.42078397,-0.8302465,0.8987115,-0.38272908,-0.111900896,0.2990104,-0.50609064,0.20422329,0.023684196,0.14889708,-0.06971832,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9043548,-0.9043548,-0.9014516,-0.89854836,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.55594033,-0.16845307,0.8393118,-0.41619256,-0.84484994,0.9207827,-0.35135195,-0.123422615,0.32835242,-0.4934361,0.21936265,0.0041243834,0.11841328,-0.07773814,-0.8819379,-0.8809171,-0.9045316,-0.92269814,-0.926352,-0.9232658,-0.92171705,-0.9043453,-0.91537285,-0.9109909,-0.9093797,-0.9089433,-0.899509,-0.92083335,-0.90237397,-0.89313126,3.2588289,-1.3936106,0.708423,0.18355633,0.44590974,-0.41660497,0.5233957,-0.5203246,-0.0326783,0.37993845,-0.16041823,0.090145215,0.50921565,0.54859734,-0.35654604,0.25802746,-0.40015492,-0.6067324,-0.46615064,0.085467026,0.30357864,-0.4915791,-0.3037659,-0.19384019,-0.15951654,-0.049889885,0.30505475,0.32514423,-0.6080764,-0.26969507,-0.35810256,-0.1842159,0.515413,-0.28426826,-0.12798949,-0.4793981,0.033100244,0.7036331,0.5092464,0.34340647,-0.010457079,0.3973058,0.5821288,0.18352495,-0.26999196,-0.46379077,0.4163372,-0.64659435,0.101488225,-0.30209225,0.42559713,0.35534468,0.2491543,0.52762693,-0.4430839,-0.3992131,0.66052705,0.15140869,-0.14242125,0.15028687,0.3506924,0.513603,-0.33749166,0.35714865,0.42240915,0.07288079,0.318496,0.5370391,-0.21968992,0.34079403,-0.6773341,-0.37504566,0.08077118,-0.10267753,-0.45282885,0.644168,-0.421239,0.40148968,-0.65908504,-0.39625844,0.36944738,0.24919894,0.13010633,-0.057445783,-0.31019583,0.34495896,-0.1667497,0.03450552,-0.061692152,0.504168,-0.1309381,-0.10068356,-0.13709693,0.287723,-0.21105629,-0.015871158,0.0017133683,0.10678851,-0.25309578,-0.0863051,-0.10877546,0.13980417,-0.125472,-0.2293288
