in position0,in position1,in position2,in position3,in position4,in position5,in position6,in torque0,in torque1,in torque2,in torque3,in torque4,in torque5,in torque6,in tactile0,in tactile1,in tactile2,in tactile3,in tactile4,in tactile5,in tactile6,in tactile7,in tactile8,in tactile9,in tactile10,in tactile11,in tactile12,in tactile13,in tactile14,in tactile15,out position0,out position1,out position2,out position3,out position4,out position5,out position6,out torque0,out torque1,out torque2,out torque3,out torque4,out torque5,out torque6,out tactile0,out tactile1,out tactile2,out tactile3,out tactile4,out tactile5,out tactile6,out tactile7,out tactile8,out tactile9,out tactile10,out tactile11,out tactile12,out tactile13,out tactile14,out tactile15,cf_pca0,cf_pca1,cs_pca0,cs_pca1,io_states0,io_states1,io_states2,io_states3,io_states4,io_states5,io_states6,io_states7,io_states8,io_states9,io_states10,io_states11,io_states12,io_states13,io_states14,io_states15,io_states16,io_states17,io_states18,io_states19,io_states20,io_states21,io_states22,io_states23,io_states24,io_states25,io_states26,io_states27,io_states28,io_states29,io_states30,io_states31,io_states32,io_states33,io_states34,io_states35,io_states36,io_states37,io_states38,io_states39,io_states40,io_states41,io_states42,io_states43,io_states44,io_states45,io_states46,io_states47,io_states48,io_states49,cf_states0,cf_states1,cf_states2,cf_states3,cf_states4,cf_states5,cf_states6,cf_states7,cf_states8,cf_states9,cf_states10,cf_states11,cf_states12,cf_states13,cf_states14,cf_states15,cf_states16,cf_states17,cf_states18,cf_states19,cf_states20,cf_states21,cf_states22,cf_states23,cf_states24,cf_states25,cf_states26,cf_states27,cf_states28,cf_states29,cf_states30,cf_states31,cf_states32,cf_states33,cf_states34,cf_states35,cf_states36,cf_states37,cf_states38,cf_states39,cf_states40,cf_states41,cf_states42,cf_states43,cf_states44,cf_states45,cf_states46,cf_states47,cf_states48,cf_states49,cf_states50,cf_states51,cf_states52,cf_states53,cf_states54,cf_states55,cf_states56,cf_states57,cf_states58,cf_states59,cf_states60,cf_states61,cf_states62,cf_states63,cf_states64,cf_states65,cf_states66,cf_states67,cf_states68,cf_states69,cf_states70,cf_states71,cf_states72,cf_states73,cf_states74,cf_states75,cf_states76,cf_states77,cf_states78,cf_states79,cs_states0,cs_states1,cs_states2,cs_states3,cs_states4,cs_states5
0.1978517,-0.28668705,0.31614903,-0.16013893,-0.54728794,0.32576,0.35478416,-0.11951678,0.07362637,-0.18600556,0.044392545,-0.30833337,0.11688313,-0.103846155,-0.9,-0.9,-0.9,-0.9,-0.9043548,-0.9,-0.9014516,-0.9,-0.9,-0.9,-0.9,-0.9,-0.89564514,-0.9,-0.9,-0.9,0.22631493,-0.5161882,0.3850752,-0.17020641,-0.68656504,0.20485502,0.4183765,-0.21187015,0.10421466,-0.22352824,0.026045883,-0.30495033,0.21466856,-0.1919235,-0.9890043,-0.9863449,-0.98256385,-0.9890301,-0.9907629,-0.98874253,-0.9882189,-0.9871406,-0.98159313,-0.970428,-0.9752642,-0.9653257,-0.98597074,-0.988191,-0.98274255,-0.9803969,0.6546826,0.75150347,0.49047345,0.07168381,0.95884144,-0.8996309,0.7725269,0.8575264,0.8896976,-0.95329314,0.9228504,0.6625821,0.7816347,-0.63983995,0.8642308,-0.8262973,-0.47085553,0.81653535,-0.8193961,-0.9457684,0.8149423,0.68477124,0.43297705,-0.96024024,-0.731062,0.7412469,0.29347977,0.78713983,-0.71664065,0.95024776,0.46032503,-0.89076084,0.9151247,0.7818792,0.4413259,0.52309376,0.76681656,0.9444094,0.77966243,-0.9553107,-0.6851788,0.25654885,0.7073364,0.7528454,-0.9043229,0.95388484,0.84196377,0.8782923,-0.8090699,0.32908222,-0.8928107,-0.76139987,-0.66730094,0.2199159,0.0751849,0.078559,0.046760652,0.0018468851,0.007939219,-0.009885244,-0.014547169,0.03900505,-0.07620414,0.0277153,-0.04383979,0.038179606,0.072837554,-0.057869624,0.015473666,-0.07306656,0.031586755,-0.046499517,0.06574808,0.09631685,0.092340045,0.06648076,0.06469165,-0.058836523,0.11429144,0.14003155,-0.06990859,-0.04943795,0.0023320827,-0.068042025,0.014834033,-0.015561847,-0.0012674626,-0.041919317,0.011710633,-0.05191321,-0.07412999,0.03708411,0.0392769,0.025176676,0.07770736,-0.028077235,-0.0017980585,-0.07643961,0.042337716,-0.0015029508,-0.030907672,0.008150399,-0.016183274,-0.07327035,0.012440896,0.08245216,0.05967417,-0.01670216,0.025323702,0.010798178,-0.035601687,-0.008713737,0.07764455,-0.06764871,-0.1028263,-0.055413768,0.0703017,-0.086644955,0.113261916,-0.048446532,0.088492244,-0.031565715,-0.0010139387,-0.052876204,0.032203592,-0.019285083,-0.022859225,-0.028251534,0.0062180953,-0.04839916,0.083342485,-0.013105955,0.07217614,0.035895392,-0.011860661,0.007131556,-0.007145216,0.0014142136,0.005476523,0.004030868
0.19780113,-0.28665748,0.31614903,-0.16013893,-0.54728794,0.32576,0.35467646,-0.11951678,0.076373614,-0.18600556,0.042523406,-0.32500002,0.12272728,-0.11076925,-0.9,-0.9,-0.9,-0.89854836,-0.9,-0.9,-0.9014516,-0.9,-0.9,-0.9,-0.9,-0.9,-0.89564514,-0.9,-0.9,-0.9,0.2957284,-0.17194645,0.2429487,-0.28647974,-0.49143663,0.44469365,0.5139391,-0.02799139,0.115757026,-0.14536086,0.092207775,-0.37059468,0.09328676,-0.002563322,-0.92025495,-0.914166,-0.90608275,-0.90122026,-0.9275026,-0.9337173,-0.9216489,-0.91256547,-0.91583943,-0.9231333,-0.9160935,-0.919402,-0.93561286,-0.920661,-0.917461,-0.8922365,0.8891385,-0.022232272,0.48440844,0.06740447,0.9757124,-0.9984098,-0.06343609,0.9984198,0.73688203,-0.96921104,0.9952437,0.9777826,0.35181966,0.2372945,0.7033703,-0.49394682,-0.95741844,0.2765122,-0.6145718,-0.79249537,0.62228316,0.2887042,0.29382786,-0.96842015,-0.24702294,0.26490048,0.85213804,0.8004434,-0.45649335,0.9931644,-0.22007854,-0.96140695,0.99921733,0.6373247,0.25820363,0.66345197,0.81576115,0.8625824,0.12601796,-0.8953007,-0.048338797,0.75884485,0.74472594,-0.60944384,-0.6509397,0.98025006,0.7711525,0.4348718,-0.87815124,-0.6253778,-0.86456996,-0.8241057,0.18240051,0.9944472,0.13571876,0.21561743,-0.109197356,0.32984507,-0.047953464,0.011791584,0.13035157,0.12225102,-0.16204941,0.012684497,-0.10477468,0.10392589,0.0019345334,-0.08340158,0.011023244,0.32127553,0.10497122,-0.27010542,0.24283025,0.26579863,-0.027479494,0.20387314,0.0700444,0.09305951,-0.012891189,0.22119193,-0.08719961,-0.22077523,-0.13552481,-0.25222182,-0.019296197,0.31386206,0.12690254,-0.051239178,-0.47556883,-0.16840625,-0.13857101,0.1796046,-0.19632147,0.16596325,0.078384995,0.07599638,-0.15289623,-0.22688317,0.06776649,-0.04694063,0.06219091,-0.122866504,-0.08330165,-0.05797578,0.3474063,-0.029523173,0.13206077,0.07020123,0.050020903,0.34019074,-0.20241378,0.39977536,0.20820697,0.0820875,-0.25199044,0.014106433,0.27835804,0.028601801,0.11176256,0.40775758,0.16677982,-0.22287805,0.1348892,-0.14743039,0.11477237,-0.0044392557,-0.14889684,0.015933651,-0.04075002,-0.12300337,0.15370002,0.25420225,0.13056244,0.22254029,-0.024235565,0.008855707,-0.0105455145,-0.0013660713,0.009784126,0.0022650284
0.19780113,-0.28665748,0.31614903,-0.16013893,-0.54728794,0.32576,0.3547303,-0.11951678,0.07417581,-0.18642262,0.041588817,-0.30833337,0.10519481,-0.103846185,-0.9,-0.9014516,-0.9,-0.9,-0.9014516,-0.9,-0.9014516,-0.9,-0.9,-0.9029032,-0.9,-0.9029032,-0.89564514,-0.9,-0.9,-0.9,0.18489072,-0.34270817,0.34648854,-0.05754877,-0.6404203,0.44300494,0.39450672,-0.17566158,0.061918963,-0.23363745,0.031744197,-0.35549816,0.14602229,-0.06001713,-0.8707013,-0.8186732,-0.840442,-0.8625151,-0.90023893,-0.8920671,-0.90097755,-0.891698,-0.87744665,-0.87859696,-0.8802848,-0.89478576,-0.86648124,-0.86473966,-0.8791642,-0.87585074,1.26339,-0.66246396,0.45535555,0.06729216,0.9410285,-0.9980514,-0.48549205,0.9949265,0.606602,-0.9342873,0.9943206,0.9569924,0.4553025,0.49674302,0.66575366,-0.34074396,-0.9287888,0.3927858,-0.53624237,-0.61700976,0.8490923,0.5937776,0.00836189,-0.95539063,-0.099003315,0.40128684,0.75892395,0.8730683,-0.2029447,0.99519765,-0.4664023,-0.85939234,0.9875178,0.7466094,0.06323822,0.28115425,0.87374496,0.715308,0.41448793,-0.68230194,-0.45997718,0.91024214,0.8755426,-0.6658121,-0.104637414,0.8834232,0.4222795,0.035850532,-0.9062511,-0.71292424,-0.90952533,-0.8399921,-0.33223435,0.99660504,0.19645491,0.27276745,-0.1765124,0.56277925,0.048470855,-0.06497201,0.14640686,0.22049864,-0.27522475,0.036454566,-0.14410718,0.29242548,-0.049262162,-0.0504417,5.7624653e-05,0.6035801,0.17236549,-0.43277967,0.33384034,0.37766182,-0.28115723,0.26894727,0.09243682,0.16200767,0.015561396,0.34396154,-0.17030229,-0.43145353,-0.21779367,-0.31584024,-0.07742208,0.56879115,0.30642715,0.007322296,-0.77959156,-0.27762133,-0.10719382,0.26754227,-0.1635339,0.17693518,-0.058684234,0.08886314,-0.19610164,-0.42899024,0.03232491,-0.07209554,0.08322781,-0.2903317,-0.13819963,0.008464864,0.5042798,-0.090856284,0.15294829,0.10471843,-0.028807718,0.44363707,-0.19458699,0.589724,0.33492622,0.13702288,-0.44508544,0.2169862,0.5330816,0.16313373,0.11881361,0.67023546,0.25211072,-0.31013224,0.16887544,-0.18381436,0.1623789,0.07133938,-0.3016562,0.04397356,-0.09100019,-0.2232694,0.17910251,0.30458882,0.3354922,0.23983403,-0.052160252,0.0003765635,-0.0009015908,-0.017124442,0.003062642,0.0031635624
0.19780113,-0.28665748,0.31614903,-0.16013893,-0.54728794,0.32576,0.35467646,-0.118913114,0.074725255,-0.18517146,0.0420561,-0.30833337,0.11103896,-0.09692307,-0.9,-0.9014516,-0.9,-0.89854836,-0.9029032,-0.9,-0.9029032,-0.9,-0.9,-0.9,-0.9,-0.9014516,-0.88258064,-0.9,-0.9,-0.9,0.21310258,-0.38650367,0.36393982,-0.11098521,-0.58696455,0.34529668,0.3360642,-0.17095403,0.043131933,-0.189856,-0.0064068753,-0.3443817,0.093118705,-0.07641597,-0.8921033,-0.88050246,-0.88570005,-0.8997649,-0.90747744,-0.9044651,-0.91690135,-0.91157013,-0.89308673,-0.87751913,-0.89466995,-0.88543344,-0.89461744,-0.8887146,-0.9044746,-0.9081159,1.5530989,-1.1815746,0.41490453,0.06982273,0.93346965,-0.9980568,-0.5926721,0.98727363,0.46352783,-0.87999445,0.996809,0.9512377,0.6462989,0.4550129,0.6650184,-0.561486,-0.87311554,0.47529313,-0.7008509,-0.52437407,0.8182606,0.83317935,-0.002150592,-0.9671489,-0.53918546,0.50474226,0.6970029,0.89824706,-0.54082304,0.99769086,-0.34927303,-0.6776887,0.92806286,0.85170585,0.037026428,0.25111127,0.9357472,0.72919947,0.43467164,-0.55335206,-0.6644725,0.9601365,0.90630126,-0.6088179,-0.3213937,0.57363784,0.4522657,0.05474025,-0.9092723,-0.7396716,-0.864615,-0.8249654,-0.43863887,0.996468,0.2822339,0.33442432,-0.21976519,0.6792015,0.095427714,-0.14435644,0.11063228,0.33542737,-0.41765842,0.090557314,-0.1964969,0.48468158,-0.11419961,-0.01688797,-0.015120545,0.74304265,0.24981764,-0.5701321,0.40703234,0.47565696,-0.49256343,0.32288793,0.12000601,0.17988189,0.08389607,0.45152083,-0.2943252,-0.6023084,-0.25450754,-0.36318043,-0.19080989,0.70993483,0.45875663,0.0029991383,-0.8792638,-0.3420565,-0.11015688,0.36752555,-0.048786607,0.18311515,-0.21787988,0.065206096,-0.21708268,-0.6306528,-0.043843374,-0.0818631,0.07979491,-0.38746196,-0.223496,0.083547026,0.6196752,-0.12169793,0.098760545,0.081803255,-0.11466783,0.46196747,-0.20857327,0.64822894,0.46646115,0.15325229,-0.5747807,0.42234868,0.7082426,0.23693728,0.15997295,0.79529613,0.36004865,-0.3065161,0.1552149,-0.19617139,0.17917004,0.15158398,-0.46471104,0.06776605,-0.09546094,-0.31221303,0.20314725,0.2977811,0.51079065,0.22199713,-0.09317999,-0.012340112,0.01934936,-0.035617903,-0.012811509,0.0073838243
0.1978517,-0.28665748,0.31614903,-0.16013893,-0.54728794,0.32576,0.35467646,-0.118913114,0.0730769,-0.18558851,0.042056106,-0.30000004,0.12857144,-0.09692307,-0.9,-0.9,-0.9,-0.9,-0.9014516,-0.9,-0.9029032,-0.9,-0.9,-0.9014516,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.23952681,-0.37018776,0.35434127,-0.13926396,-0.5924502,0.29411075,0.3504985,-0.13671352,0.04597731,-0.17882456,-0.0059922813,-0.3306531,0.10204709,-0.079550505,-0.9083066,-0.90879154,-0.9010389,-0.9115915,-0.898637,-0.90589446,-0.9146211,-0.911036,-0.9047806,-0.8879464,-0.9027943,-0.8954593,-0.9120822,-0.90580446,-0.918168,-0.9210624,1.811423,-1.5846763,0.3647201,0.07428797,0.95326877,-0.9984268,-0.679473,0.988711,0.52183837,-0.8039727,0.9975101,0.9658388,0.729573,0.4645642,0.6883839,-0.54021895,-0.8673844,0.396488,-0.7120713,-0.48340037,0.80185187,0.87412405,0.14780496,-0.9828238,-0.7113671,0.5720952,0.757684,0.90747935,-0.7349472,0.99820787,-0.16197723,-0.63952583,0.9238055,0.9101752,0.10908664,0.2548277,0.93074596,0.7884673,0.52417666,-0.570323,-0.6463546,0.9615736,0.90703833,-0.7282684,-0.4363022,0.5338729,0.50542504,0.16325499,-0.88517237,-0.75412977,-0.8354563,-0.8309272,-0.37867445,0.9970177,0.36445102,0.43258393,-0.21435356,0.75333995,0.09130014,-0.1463011,0.092005044,0.44573027,-0.5135223,0.15031005,-0.27091518,0.6108274,-0.17980172,0.039100073,-0.023812247,0.79777056,0.31939617,-0.63930774,0.4736734,0.5650906,-0.63165444,0.3651939,0.13014631,0.18022443,0.15828323,0.5592677,-0.4037355,-0.69554454,-0.28213763,-0.4150646,-0.3311987,0.78561336,0.5681493,-0.052031867,-0.9044845,-0.3571579,-0.11964188,0.48700073,0.052921273,0.21608803,-0.35009137,0.0565932,-0.24936098,-0.76412106,-0.13843988,-0.099606045,0.05644345,-0.45573908,-0.3316797,0.17179357,0.6917435,-0.12967639,0.011532511,0.017002497,-0.19054475,0.46525097,-0.21028477,0.68057895,0.57229143,0.17964569,-0.637934,0.5558169,0.79482913,0.29063258,0.18215501,0.8520667,0.45274702,-0.3178222,0.0961584,-0.16739911,0.13038312,0.22825582,-0.60174453,0.0548337,-0.09813014,-0.41161743,0.24171293,0.30233786,0.60517895,0.22093406,-0.14353678,-0.029847113,0.048257314,-0.056476913,-0.036117528,0.013166998
0.1978517,-0.28667226,0.31614903,-0.16015531,-0.54728794,0.32576,0.35467646,-0.11981862,0.07637361,-0.18683967,0.041588824,-0.3166667,0.122727275,-0.08307694,-0.9,-0.9,-0.9,-0.9,-0.9029032,-0.9,-0.9029032,-0.9,-0.9,-0.9,-0.9,-0.9,-0.8912903,-0.9,-0.9,-0.9,0.23111291,-0.37707826,0.3458193,-0.13705704,-0.6018352,0.28344223,0.37162226,-0.1232573,0.052184414,-0.18945038,0.0022943576,-0.33041683,0.11276969,-0.08001305,-0.9199933,-0.9218741,-0.91043276,-0.9153703,-0.90238565,-0.9130239,-0.916021,-0.91583586,-0.91321784,-0.8989321,-0.911905,-0.90466714,-0.9235902,-0.920024,-0.92765534,-0.92998725,2.0726058,-1.8947947,0.30482882,0.0811372,0.9660835,-0.9988214,-0.7241178,0.9902502,0.6280448,-0.7778238,0.9978,0.9732301,0.73947144,0.47814348,0.7000749,-0.53653884,-0.8943886,0.33500895,-0.7336337,-0.48861995,0.803969,0.88765764,0.2739863,-0.98926,-0.78182864,0.68063724,0.8229274,0.9051066,-0.7841491,0.9987654,0.038015664,-0.6828096,0.9470103,0.9420592,0.21547075,0.21262643,0.9221727,0.8323834,0.59407836,-0.5876518,-0.5829467,0.9613755,0.9074816,-0.8037096,-0.5413881,0.5990345,0.5653863,0.25451928,-0.86280614,-0.80244565,-0.7992335,-0.84101343,-0.3651906,0.99800813,0.43515146,0.52784413,-0.18345818,0.8003071,0.05288951,-0.10684545,0.07919697,0.52609825,-0.5615822,0.21161039,-0.35528678,0.68340266,-0.22331324,0.11812231,-0.01884726,0.8187604,0.37932718,-0.6614865,0.5049628,0.6247107,-0.72027504,0.40971938,0.12792319,0.17805925,0.23012556,0.6513236,-0.49562567,-0.74235827,-0.31179422,-0.47322586,-0.45940945,0.82638127,0.6408268,-0.118496746,-0.9159841,-0.3749383,-0.10656222,0.5796576,0.1478966,0.2761934,-0.4405936,0.04255677,-0.30030885,-0.8305351,-0.24030529,-0.14241824,0.022001978,-0.51430637,-0.4193842,0.26349297,0.7353726,-0.11025434,-0.07864804,-0.09245731,-0.266777,0.4479171,-0.21447344,0.6990093,0.63543785,0.23176463,-0.6590508,0.63236755,0.82824016,0.33716083,0.17546108,0.87755764,0.5153094,-0.33950144,0.0136421425,-0.10773659,0.04926659,0.30479288,-0.68499476,-0.0089395605,-0.12859024,-0.50130594,0.28475922,0.30066276,0.6497697,0.2268444,-0.20128998,-0.052780434,0.0840387,-0.08094987,-0.06542663,0.020357413
0.1978517,-0.28665748,0.31612757,-0.16015531,-0.54728794,0.32576,0.35467646,-0.11830963,0.07582416,-0.18517146,0.041121524,-0.3166667,0.12272727,-0.103846155,-0.9,-0.9014516,-0.9,-0.9,-0.9014516,-0.9,-0.9043548,-0.9,-0.9,-0.9014516,-0.9014516,-0.9,-0.89564514,-0.9043548,-0.9,-0.9,0.23803289,-0.3771325,0.3315404,-0.14233534,-0.6082977,0.289696,0.3856764,-0.12000223,0.05033845,-0.1894457,0.011002767,-0.33483818,0.113593526,-0.07939657,-0.9237396,-0.9259386,-0.91425234,-0.91788864,-0.9119475,-0.9233384,-0.9227494,-0.9239065,-0.92056376,-0.9090512,-0.9190218,-0.9118932,-0.9252368,-0.92249095,-0.9291881,-0.93048334,2.3480065,-2.1269233,0.23658603,0.09156262,0.97401553,-0.99903697,-0.7427982,0.992113,0.7342939,-0.804143,0.99801373,0.97830963,0.7039814,0.50528324,0.68090224,-0.5227109,-0.9242357,0.28798446,-0.75650567,-0.50118256,0.79885536,0.8861959,0.38947445,-0.99198693,-0.81704694,0.7636839,0.8632678,0.89349914,-0.79178256,0.99911994,0.15629466,-0.7725706,0.9659958,0.95732605,0.23575848,0.18818349,0.9162416,0.85961765,0.6371228,-0.59473616,-0.5187074,0.9610987,0.9037066,-0.85080546,-0.61927533,0.7035128,0.5966646,0.28731537,-0.8409569,-0.84438294,-0.74723387,-0.859014,-0.34035465,0.9987336,0.4919675,0.60988367,-0.1385672,0.8298996,-0.010802914,-0.04217717,0.060661785,0.5686605,-0.5787362,0.26872623,-0.42983404,0.7208368,-0.24011092,0.21227223,-0.005643967,0.8313498,0.4298427,-0.6613759,0.5001104,0.6553881,-0.7689396,0.46069136,0.10678001,0.18249702,0.28405488,0.7189979,-0.568022,-0.7684903,-0.34765035,-0.5331048,-0.5579128,0.8500048,0.686695,-0.18685195,-0.9242505,-0.39672706,-0.06772995,0.64010245,0.22836201,0.35071322,-0.48798478,0.018802015,-0.36904454,-0.86008346,-0.3334756,-0.2073129,-0.014744722,-0.569342,-0.4754257,0.35564956,0.76513433,-0.07310643,-0.1684917,-0.22897336,-0.3416108,0.4193078,-0.24501859,0.7126562,0.6588435,0.31955886,-0.65317863,0.67642957,0.8362913,0.37378713,0.15074018,0.89249164,0.55392396,-0.368267,-0.075709485,-0.028075479,-0.045653526,0.3685754,-0.72749615,-0.11489139,-0.1857647,-0.5761378,0.3217194,0.28845924,0.6633526,0.23165384,-0.264195,-0.08097594,0.12490031,-0.1094465,-0.09890121,0.029990353
0.19780113,-0.28665748,0.31614903,-0.16013893,-0.54728794,0.32576,0.35467646,-0.119214855,0.0730769,-0.1847544,0.043457974,-0.3166667,0.11688313,-0.09692309,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.24723524,-0.3722313,0.32862568,-0.14960566,-0.609073,0.30786976,0.38974175,-0.11974602,0.05122155,-0.19342905,0.016083686,-0.33692184,0.11471056,-0.08163279,-0.92296505,-0.9261824,-0.9147188,-0.9195237,-0.92078096,-0.9302816,-0.92805827,-0.9295284,-0.92434263,-0.91590744,-0.9236976,-0.9166264,-0.9234981,-0.9217898,-0.9274839,-0.92817503,2.640518,-2.2935302,0.16239274,0.107120834,0.9783926,-0.9991118,-0.73487574,0.99368155,0.80338675,-0.84133077,0.9980658,0.9812922,0.6605847,0.5274929,0.6608152,-0.52168715,-0.94400615,0.24384709,-0.7762131,-0.5053939,0.79158753,0.8799818,0.45634526,-0.9930871,-0.82967335,0.81977147,0.88894826,0.8819895,-0.78930175,0.9993308,0.21006015,-0.84436125,0.9765513,0.9647272,0.22004938,0.181288,0.91715467,0.8830619,0.6549661,-0.59669715,-0.44795275,0.9610319,0.89982516,-0.88019675,-0.67046636,0.7934623,0.6065865,0.28833687,-0.8322231,-0.868098,-0.68786937,-0.87892365,-0.3384552,0.9991503,0.5308925,0.6719742,-0.07837368,0.84831333,-0.08025245,0.036977198,0.020359166,0.5853847,-0.58132714,0.31855908,-0.48611295,0.7388146,-0.22842102,0.31052813,0.012710467,0.84168375,0.46873713,-0.6538713,0.46790496,0.6633171,-0.7937085,0.50901645,0.06889013,0.199722,0.32148317,0.7643127,-0.6245542,-0.78897965,-0.38209516,-0.58588094,-0.62683797,0.8667805,0.7199626,-0.25390542,-0.93090606,-0.4181278,-0.00094706536,0.6765261,0.28798822,0.43011498,-0.49737674,-0.02092537,-0.44518042,-0.8734651,-0.41047344,-0.2945779,-0.04419958,-0.6202332,-0.50605696,0.44564104,0.7880363,-0.021797635,-0.26214936,-0.36672676,-0.41011345,0.3873794,-0.3075852,0.72471976,0.6497149,0.42608243,-0.6305362,0.7055878,0.83403635,0.40431845,0.1228054,0.9043619,0.57632786,-0.39570618,-0.1624434,0.063938305,-0.1409558,0.41586563,-0.74591315,-0.23958498,-0.25818285,-0.63686734,0.3462273,0.2633353,0.65925604,0.22400908,-0.32862866,-0.11405152,0.16919988,-0.14193386,-0.1349857,0.043370724
0.1978517,-0.28665748,0.31614903,-0.16015531,-0.54728794,0.32579118,0.35467646,-0.118611276,0.074725255,-0.18600556,0.04299068,-0.3166667,0.11103897,-0.09692307,-0.9,-0.9,-0.9,-0.89854836,-0.9029032,-0.9,-0.9029032,-0.9,-0.9,-0.9,-0.9,-0.9014516,-0.89564514,-0.9,-0.9,-0.9,0.25157174,-0.362087,0.3266543,-0.1572858,-0.60483074,0.32231247,0.38668874,-0.11916602,0.05523961,-0.19577342,0.022930253,-0.3301189,0.12021702,-0.08323509,-0.91796166,-0.9221625,-0.9119069,-0.9173783,-0.9253556,-0.93334615,-0.9304591,-0.9321199,-0.9254722,-0.9193313,-0.92566884,-0.9188716,-0.92032367,-0.9189435,-0.9243263,-0.9242857,2.9355676,-2.3946888,0.08561182,0.12913597,0.9812647,-0.9991092,-0.71771574,0.9944967,0.8427286,-0.8683084,0.9980176,0.9833413,0.61340994,0.55248123,0.6333396,-0.5246885,-0.9528043,0.2122946,-0.79269326,-0.49492818,0.7828683,0.8725871,0.49340752,-0.9935132,-0.8340892,0.84918404,0.9048017,0.8686215,-0.78647923,0.99945915,0.23296882,-0.8879738,0.98214936,0.9695631,0.20332749,0.1909784,0.9236237,0.8982216,0.65288854,-0.57980496,-0.40212616,0.96136594,0.89213794,-0.896806,-0.69393784,0.8534707,0.6093926,0.25866267,-0.82920676,-0.8847865,-0.61555827,-0.897697,-0.33528754,0.9994051,0.55151,0.716221,-0.0045483024,0.8598581,-0.14734732,0.12006502,-0.045398626,0.58371884,-0.5782163,0.36114237,-0.5205586,0.74628365,-0.19429597,0.40361166,0.03179286,0.8505653,0.4929888,-0.6423849,0.4162274,0.65386814,-0.8050055,0.54581416,0.017568918,0.22857867,0.34830797,0.79433006,-0.66971767,-0.806325,-0.4093824,-0.62505746,-0.67164856,0.87961346,0.74424326,-0.31625372,-0.9353868,-0.4316256,0.08972814,0.69681793,0.33015567,0.50012004,-0.47714943,-0.07879397,-0.51392436,-0.87970096,-0.46721503,-0.39093402,-0.06587929,-0.66332537,-0.51818544,0.5268405,0.80627245,0.03908481,-0.35733208,-0.48476976,-0.46646214,0.35304603,-0.39413106,0.7318147,0.6149886,0.53150207,-0.5951585,0.7299193,0.8267907,0.42576113,0.098109275,0.9136681,0.58557385,-0.41650265,-0.2433315,0.15943694,-0.22626412,0.44502896,-0.7530372,-0.35820085,-0.3317798,-0.68521464,0.3557033,0.22300176,0.64660215,0.19732316,-0.39019272,-0.15124846,0.21550521,-0.17763005,-0.17254438,0.061575763
0.1978517,-0.28665748,0.31614903,-0.16013893,-0.54728794,0.32576,0.35467646,-0.119214855,0.0741758,-0.18683967,0.042056106,-0.30833337,0.12272728,-0.11076925,-0.9,-0.9029032,-0.9,-0.89709675,-0.9043548,-0.9,-0.9014516,-0.9,-0.9,-0.9,-0.9,-0.9014516,-0.9,-0.9043548,-0.9,-0.9,0.25234357,-0.352794,0.3265714,-0.16046886,-0.6001608,0.3319134,0.38174626,-0.123803236,0.060138747,-0.19881536,0.023059705,-0.325649,0.12518066,-0.08875057,-0.9130619,-0.9181674,-0.90983534,-0.9156696,-0.928662,-0.9351854,-0.9320745,-0.9335616,-0.9246658,-0.9206022,-0.92556036,-0.91960955,-0.9179962,-0.9166436,-0.92160684,-0.920956,3.21507,-2.4308677,0.010355095,0.1582692,0.98301834,-0.9990236,-0.6966085,0.99474055,0.8655213,-0.8848585,0.99791,0.9850007,0.5724627,0.568708,0.5976849,-0.5312056,-0.95429456,0.18710934,-0.8098451,-0.4844412,0.7757852,0.86585444,0.5063341,-0.99362797,-0.83367693,0.8645146,0.91331655,0.8557693,-0.7799968,0.9995437,0.24461482,-0.9126331,0.98467374,0.973694,0.20035993,0.19577196,0.93220866,0.909199,0.6456705,-0.5746748,-0.38037914,0.96190023,0.88529056,-0.9032872,-0.7099184,0.891466,0.6028148,0.21162029,-0.8266952,-0.8947931,-0.5380486,-0.9131566,-0.3349809,0.99955016,0.55543756,0.7471223,0.079741135,0.8665549,-0.20905763,0.19831342,-0.13386276,0.56904215,-0.5731683,0.39704162,-0.53421515,0.74857277,-0.14499271,0.4841166,0.049285486,0.8573952,0.5027387,-0.62769645,0.3490136,0.6312556,-0.8080401,0.56778693,-0.042265896,0.26518014,0.3693765,0.8146256,-0.7062693,-0.8200443,-0.42845765,-0.6487711,-0.700719,0.88929695,0.76039535,-0.37133324,-0.9374733,-0.43311554,0.19611844,0.7065018,0.35900474,0.5520662,-0.4343954,-0.15186734,-0.5652021,-0.8825414,-0.5045295,-0.48094532,-0.082654625,-0.69664776,-0.5161673,0.59412014,0.8202605,0.10525137,-0.447224,-0.574027,-0.5088286,0.31373805,-0.4870607,0.731922,0.5567384,0.6192235,-0.547498,0.752535,0.81632596,0.4370492,0.079328395,0.92041945,0.5840965,-0.4282436,-0.31749147,0.2509483,-0.29442912,0.45853835,-0.7556069,-0.45299065,-0.39573935,-0.72255665,0.35170895,0.16550446,0.6303389,0.15010913,-0.4446658,-0.19126967,0.26207185,-0.21490112,-0.21053742,0.08520386
