position1,position2,position3,position4,position5,position6,position7,torque1,torque2,torque3,torque4,torque5,torque6,torque7,tactile0,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15
0.569804589,-0.134046887,0.801854843,-0.420633856,-0.830225194,0.898644591,-0.382756158,-0.108546317,0.301979305,-0.507790359,0.20937719,-0.023684219,0.138970611,-0.120422591,-0.9,-0.9,-0.9,-0.9,-0.9,-0.897096774,-0.9,-0.9,-0.897096774,-0.9,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.9
0.569736362,-0.134046887,0.80184208,-0.420633856,-0.830225194,0.898611112,-0.38272907,-0.107827519,0.300706924,-0.505240787,0.209377196,-0.039473687,0.129044138,-0.133098662,-0.9,-0.9,-0.9,-0.9,-0.901451613,-0.897096774,-0.9,-0.9,-0.898548387,-0.897096774,-0.895645162,-0.9,-0.9,-0.9,-0.9,-0.9
0.569770476,-0.134046887,0.80184208,-0.420621351,-0.830235855,0.898644591,-0.382756158,-0.108067118,0.300282801,-0.503541071,0.209699304,-0.023684215,0.135661787,-0.139436691,-0.9,-0.9,-0.9,-0.9,-0.9,-0.897096774,-0.9,-0.9,-0.894193548,-0.891290323,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
0.569804589,-0.134046887,0.80184208,-0.420633856,-0.830225194,0.898627852,-0.38272907,-0.107587882,0.300706924,-0.504390927,0.208088723,-0.023684215,0.138970611,-0.139436679,-0.9,-0.9,-0.9,-0.9,-0.901451613,-0.897096774,-0.9,-0.9,-0.898548387,-0.9,-0.895645162,-0.9,-0.9,-0.9,-0.9,-0.9
0.569804589,-0.134046887,0.80184208,-0.420633856,-0.830235855,0.898627852,-0.382756158,-0.107827481,0.29901041,-0.504390927,0.209055076,-0.01578948,0.135661787,-0.139436679,-0.9,-0.9,-0.9,-0.9,-0.9,-0.897096774,-0.9,-0.9,-0.894193548,-0.894193548,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.9
0.569804589,-0.134059521,0.801829318,-0.420633856,-0.830246527,0.898594372,-0.382756158,-0.108306718,0.299434533,-0.506515571,0.209699316,-0.023684219,0.129044138,-0.145774696,-0.9,-0.9,-0.9,-0.9,-0.9,-0.897096774,-0.9,-0.9,-0.897096774,-0.897096774,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.9
0.569804589,-0.134059521,0.801829318,-0.420633856,-0.830246527,0.898594372,-0.382756158,-0.107108683,0.30028278,-0.504815859,0.208410837,-0.023684219,0.132352962,-0.139436691,-0.9,-0.9,-0.9,-0.9,-0.9,-0.897096774,-0.9,-0.9,-0.894193548,-0.894193548,-0.898548387,-0.9,-0.9,-0.9,-0.9,-0.9
0.569770476,-0.134059521,0.801829318,-0.420633856,-0.830235855,0.898611112,-0.382756158,-0.106869046,0.298162142,-0.504815857,0.207444484,-0.039473687,0.132352962,-0.139436691,-0.9,-0.9,-0.9,-0.9,-0.9,-0.897096774,-0.9,-0.9,-0.897096774,-0.9,-0.898548387,-0.9,-0.9,-0.9,-0.9,-0.9
0.569804589,-0.134046887,0.801829318,-0.420633856,-0.830257198,0.898627852,-0.382756158,-0.107348282,0.299858657,-0.505240783,0.20937719,-0.039473687,0.135661787,-0.133098662,-0.9,-0.9,-0.9,-0.9,-0.9,-0.898548387,-0.9,-0.9,-0.895645161,-0.897096774,-0.895645162,-0.9,-0.9,-0.9,-0.9,-0.9
0.569770476,-0.134046887,0.80184208,-0.420633856,-0.830257198,0.898627852,-0.38272907,-0.106389847,0.298162142,-0.506090645,0.207122364,-0.023684215,0.132352962,-0.139436679,-0.9,-0.9,-0.9,-0.9,-0.9,-0.89564516,-0.9,-0.9,-0.895645161,-0.9,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.9
